planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
<<<<<<< HEAD
RRTConnect,0.063751220703125,1,130,52,26,1
RRTConnect,0.040523529052734375,1,95,38,19,1
RRTConnect,0.04101395606994629,1,85,34,17,1
RRTConnect,0.0319826602935791,1,130,52,26,1
RRTConnect,0.036707401275634766,1,90,36,18,1
RRTConnect,0.0727388858795166,1,110,44,22,1
RRTConnect,0.027618408203125,1,120,48,24,1
RRTConnect,0.020759105682373047,1,115,46,23,1
RRTConnect,0.019350767135620117,1,110,44,22,1
RRTConnect,0.03410983085632324,1,90,36,18,1
RRTConnect,0.03565859794616699,1,130,52,26,1
RRTConnect,0.04753828048706055,1,120,48,24,1
RRTConnect,0.03140091896057129,1,125,50,25,1
RRTConnect,0.031039714813232422,1,100,40,20,1
RRTConnect,0.029590368270874023,1,115,46,23,1
RRTConnect,0.04250955581665039,1,85,34,17,1
RRTConnect,0.03995347023010254,1,130,52,26,1
RRTConnect,0.03774738311767578,1,90,36,18,1
RRTConnect,0.04281783103942871,1,115,46,23,1
RRTConnect,0.040950775146484375,1,70,28,14,1
RRTConnect,0.03991508483886719,1,90,36,18,1
RRTConnect,0.038771629333496094,1,115,46,23,1
RRTConnect,0.03601670265197754,1,100,40,20,1
RRTConnect,0.06189560890197754,1,125,50,25,1
RRTConnect,0.06189584732055664,1,105,42,21,1
RRTConnect,0.043401479721069336,1,110,44,22,1
RRTConnect,0.050312042236328125,1,115,46,23,1
RRTConnect,0.05243039131164551,1,115,46,23,1
RRTConnect,0.02318716049194336,1,100,40,20,1
RRTConnect,0.03234267234802246,1,125,50,25,1
RRTConnect,0.04301857948303223,1,90,36,18,1
RRTConnect,0.03700685501098633,1,130,52,26,1
RRTConnect,0.042067527770996094,1,115,46,23,1
RRTConnect,0.05969810485839844,1,130,52,26,1
RRTConnect,0.03670310974121094,1,115,46,23,1
RRTConnect,0.0535731315612793,1,120,48,24,1
RRTConnect,0.4201536178588867,1,0,0,0,0
RRTConnect,0.38303470611572266,1,0,0,0,0
RRTConnect,0.0704953670501709,1,120,48,24,1
RRTConnect,0.06883454322814941,1,95,38,19,1
RRTConnect,0.04097580909729004,1,110,44,22,1
RRTConnect,0.06911516189575195,1,110,44,22,1
RRTConnect,0.05260658264160156,1,130,52,26,1
RRTConnect,0.050562143325805664,1,105,42,21,1
RRTConnect,0.05745697021484375,1,95,38,19,1
RRTConnect,0.07122588157653809,1,90,36,18,1
RRTConnect,0.19578313827514648,1,0,0,0,0
RRTConnect,1.0015888214111328,1,0,0,0,0
RRTConnect,0.08652710914611816,1,110,44,22,1
RRTConnect,0.09597110748291016,1,120,48,24,1
RRTConnect,0.05719923973083496,1,115,46,23,1
RRTConnect,0.04407620429992676,1,120,48,24,1
RRTConnect,0.36939263343811035,1,0,0,0,0
RRTConnect,0.06422543525695801,1,110,44,22,1
RRTConnect,0.04673886299133301,1,85,34,17,1
RRTConnect,0.07413101196289062,1,110,44,22,1
RRTConnect,0.05614924430847168,1,100,40,20,1
RRTConnect,0.05108785629272461,1,105,42,21,1
RRTConnect,0.08014249801635742,1,95,38,19,1
RRTConnect,0.06876826286315918,1,90,36,18,1
RRTConnect,0.06574845314025879,1,120,48,24,1
RRTConnect,0.09087681770324707,1,125,50,25,1
RRTConnect,0.10003328323364258,1,75,30,15,1
RRTConnect,0.06916975975036621,1,90,36,18,1
RRTConnect,0.10566592216491699,1,125,50,25,1
RRTConnect,1.146040678024292,1,0,0,0,0
RRTConnect,0.04242086410522461,1,95,38,19,1
RRTConnect,0.06823921203613281,1,130,52,26,1
RRTConnect,0.07492446899414062,1,105,42,21,1
RRTConnect,0.06785845756530762,1,110,44,22,1
RRTConnect,0.15007233619689941,1,0,0,0,0
RRTConnect,0.038721561431884766,1,125,50,25,1
RRTConnect,0.1400606632232666,1,0,0,0,0
RRTConnect,0.06225943565368652,1,100,40,20,1
RRTConnect,0.05582594871520996,1,100,40,20,1
RRTConnect,0.06860065460205078,1,125,50,25,1
RRTConnect,0.07282614707946777,1,95,38,19,1
RRTConnect,0.04943132400512695,1,100,40,20,1
RRTConnect,0.060407400131225586,1,130,52,26,1
RRTConnect,0.26508569717407227,1,0,0,0,0
RRTConnect,0.06097984313964844,1,130,52,26,1
RRTConnect,0.050603389739990234,1,90,36,18,1
RRTConnect,0.05974721908569336,1,130,52,26,1
RRTConnect,0.040059804916381836,1,85,34,17,1
RRTConnect,0.0279238224029541,1,85,34,17,1
RRTConnect,0.05630970001220703,1,110,44,22,1
RRTConnect,0.05082440376281738,1,120,48,24,1
RRTConnect,0.047728538513183594,1,130,52,26,1
RRTConnect,0.05329537391662598,1,105,42,21,1
RRTConnect,0.031001567840576172,1,125,50,25,1
RRTConnect,0.051981210708618164,1,105,42,21,1
RRTConnect,0.031128644943237305,1,120,48,24,1
RRTConnect,0.051175594329833984,1,105,42,21,1
RRTConnect,0.04422736167907715,1,125,50,25,1
RRTConnect,0.041637420654296875,1,110,44,22,1
RRTConnect,0.04973316192626953,1,120,48,24,1
RRTConnect,1.9923319816589355,1,0,0,0,0
RRTConnect,0.037525177001953125,1,130,52,26,1
RRTConnect,0.038660526275634766,1,110,44,22,1
RRTConnect,0.0247194766998291,1,90,36,18,1
RRTConnect,0.04566669464111328,1,110,44,22,1
RRTConnect,0.06162714958190918,1,115,46,23,1
RRTConnect,0.037267208099365234,1,120,48,24,1
RRTConnect,-0.9287064075469971,1,0,0,0,0
RRTConnect,0.04597926139831543,1,120,48,24,1
RRTConnect,0.04343700408935547,1,90,36,18,1
RRTConnect,0.0726170539855957,1,90,36,18,1
RRTConnect,0.06508421897888184,1,90,36,18,1
RRTConnect,0.10314750671386719,1,125,50,25,1
RRTConnect,0.05045485496520996,1,125,50,25,1
RRTConnect,0.059129953384399414,1,90,36,18,1
RRTConnect,0.09311795234680176,1,120,48,24,1
RRTConnect,0.6434869766235352,1,0,0,0,0
RRTConnect,0.04776406288146973,1,110,44,22,1
RRTConnect,0.04710793495178223,1,95,38,19,1
RRTConnect,0.06104755401611328,1,130,52,26,1
RRTConnect,0.03679203987121582,1,130,52,26,1
RRTConnect,0.06609082221984863,1,130,52,26,1
RRTConnect,0.03415560722351074,1,115,46,23,1
RRTConnect,1.264587163925171,1,0,0,0,0
RRTConnect,0.19251394271850586,1,0,0,0,0
RRTConnect,0.07326149940490723,1,130,52,26,1
RRTConnect,0.06724381446838379,1,105,42,21,1
RRTConnect,0.0700078010559082,1,130,52,26,1
RRTConnect,1.8130559921264648,1,0,0,0,0
RRTConnect,0.04320120811462402,1,125,50,25,1
RRTConnect,0.1873164176940918,1,0,0,0,0
RRTConnect,0.029008865356445312,1,135,54,27,1
RRTConnect,0.04902482032775879,1,120,48,24,1
RRTConnect,0.06046104431152344,1,125,50,25,1
RRTConnect,0.06595587730407715,1,120,48,24,1
RRTConnect,0.05453062057495117,1,95,38,19,1
RRTConnect,0.042000532150268555,1,110,44,22,1
RRTConnect,0.04543733596801758,1,105,42,21,1
RRTConnect,0.05591416358947754,1,105,42,21,1
RRTConnect,0.04385185241699219,1,100,40,20,1
RRTConnect,0.05489635467529297,1,120,48,24,1
RRTConnect,0.7631635665893555,1,0,0,0,0
RRTConnect,0.0331118106842041,1,125,50,25,1
RRTConnect,0.036045074462890625,1,125,50,25,1
RRTConnect,0.04082489013671875,1,105,42,21,1
RRTConnect,0.040738821029663086,1,100,40,20,1
RRTConnect,0.05126070976257324,1,105,42,21,1
RRTConnect,0.04566550254821777,1,105,42,21,1
RRTConnect,0.03297305107116699,1,105,42,21,1
RRTConnect,0.057848215103149414,1,95,38,19,1
RRTConnect,0.03714156150817871,1,90,36,18,1
RRTConnect,0.04212641716003418,1,130,52,26,1
RRTConnect,0.04515218734741211,1,130,52,26,1
RRTConnect,0.052588462829589844,1,125,50,25,1
RRTConnect,0.03854727745056152,1,110,44,22,1
RRTConnect,0.04710555076599121,1,125,50,25,1
RRTConnect,0.03929734230041504,1,105,42,21,1
RRTConnect,0.06599116325378418,1,125,50,25,1
RRTConnect,0.0465090274810791,1,125,50,25,1
RRTConnect,0.035857439041137695,1,130,52,26,1
RRTConnect,0.0469515323638916,1,120,48,24,1
RRTConnect,0.03788900375366211,1,115,46,23,1
RRTConnect,0.03450441360473633,1,105,42,21,1
RRTConnect,0.05954313278198242,1,130,52,26,1
RRTConnect,0.04578518867492676,1,120,48,24,1
RRTConnect,0.024777650833129883,1,115,46,23,1
RRTConnect,0.05163288116455078,1,120,48,24,1
RRTConnect,0.05737018585205078,1,130,52,26,1
RRTConnect,0.049408912658691406,1,120,48,24,1
RRTConnect,0.05890202522277832,1,110,44,22,1
RRTConnect,0.044167280197143555,1,130,52,26,1
RRTConnect,0.059839725494384766,1,120,48,24,1
RRTConnect,0.05572509765625,1,105,42,21,1
RRTConnect,0.030189037322998047,1,95,38,19,1
RRTConnect,0.03724956512451172,1,105,42,21,1
RRTConnect,0.060942649841308594,1,90,36,18,1
RRTConnect,0.048675537109375,1,125,50,25,1
RRTConnect,0.026516199111938477,1,85,34,17,1
RRTConnect,0.06248831748962402,1,130,52,26,1
RRTConnect,0.05707144737243652,1,120,48,24,1
RRTConnect,0.03340578079223633,1,130,52,26,1
RRTConnect,0.04300570487976074,1,110,44,22,1
RRTConnect,0.03421664237976074,1,115,46,23,1
RRTConnect,0.05374860763549805,1,115,46,23,1
RRTConnect,0.04956936836242676,1,80,32,16,1
RRTConnect,0.07794761657714844,1,0,0,0,0
RRTConnect,0.0398104190826416,1,95,38,19,1
RRTConnect,0.03250598907470703,1,90,36,18,1
RRTConnect,0.055744171142578125,1,130,52,26,1
RRTConnect,0.0331571102142334,1,115,46,23,1
RRTConnect,0.031926870346069336,1,130,52,26,1
RRTConnect,0.037667036056518555,1,85,34,17,1
RRTConnect,0.060343027114868164,1,115,46,23,1
RRTConnect,0.04848170280456543,1,120,48,24,1
RRTConnect,0.04884672164916992,1,95,38,19,1
RRTConnect,0.04007863998413086,1,130,52,26,1
RRTConnect,0.04893946647644043,1,115,46,23,1
RRTConnect,0.04307055473327637,1,95,38,19,1
RRTConnect,0.04719376564025879,1,120,48,24,1
RRTConnect,0.03198099136352539,1,100,40,20,1
RRTConnect,0.03184938430786133,1,95,38,19,1
RRTConnect,0.08821725845336914,1,0,0,0,0
RRTConnect,0.03819561004638672,1,130,52,26,1
RRTConnect,0.04489016532897949,1,115,46,23,1
RRTConnect,0.04890251159667969,1,115,46,23,1
RRTConnect,0.05237627029418945,1,90,36,18,1
RRTConnect,0.04597783088684082,1,120,48,24,1
RRTConnect,0.05757594108581543,1,130,52,26,1
RRTConnect,0.03591179847717285,1,100,40,20,1
RRTConnect,0.046071529388427734,1,75,30,15,1
RRTConnect,0.03777623176574707,1,75,30,15,1
RRTConnect,0.0377810001373291,1,110,44,22,1
RRTConnect,0.03974103927612305,1,95,38,19,1
RRTConnect,0.0328371524810791,1,130,52,26,1
RRTConnect,0.03107452392578125,1,95,38,19,1
RRTConnect,0.05449533462524414,1,85,34,17,1
RRTConnect,0.03834676742553711,1,120,48,24,1
RRTConnect,0.04559588432312012,1,95,38,19,1
RRTConnect,0.08767151832580566,1,0,0,0,0
RRTConnect,0.04718661308288574,1,115,46,23,1
RRTConnect,0.04937577247619629,1,90,36,18,1
RRTConnect,0.05755281448364258,1,125,50,25,1
RRTConnect,0.056992530822753906,1,115,46,23,1
RRTConnect,0.05868697166442871,1,120,48,24,1
RRTConnect,0.040778160095214844,1,120,48,24,1
RRTConnect,0.041433095932006836,1,110,44,22,1
RRTConnect,0.02927565574645996,1,90,36,18,1
RRTConnect,0.04449343681335449,1,105,42,21,1
RRTConnect,0.025683879852294922,1,85,34,17,1
RRTConnect,0.03495526313781738,1,110,44,22,1
